Node Size,Average Runtime (ms)
10,0.0926
9,0.0282
5,0.0181
10,0.0307
5,0.0156
10,0.0293
6,0.0183
5,0.0155
7,0.0237
10,0.028
9,0.024
8,0.0222
5,0.032
8,0.0253
9,0.0255
6,0.0525
10,0.0216
7,0.0099
7,0.01
5,0.0083
5,0.0079
7,0.0121
8,0.0115
8,0.0142
6,0.0084
6,0.0085
9,0.0118
10,0.0129
5,0.0077
9,0.0135
8,0.0106
7,0.0133
5,0.0078
7,0.0107
10,0.0147
10,0.0285
10,0.013
8,0.0163
6,0.0086
5,0.0072
10,0.0128
9,0.0122
10,0.0125
6,0.0167
7,0.0223
9,0.0184
8,0.0226
8,0.0156
5,0.0112
9,0.0165
7,0.0147
5,0.0106
5,0.0104
7,0.0122
6,0.0114
7,0.0125
5,0.0118
6,0.0136
7,0.0142
7,0.0117
5,0.0111
10,0.0155
10,0.0189
9,0.0155
10,0.0426
9,0.0143
6,0.0194
7,0.0138
7,0.0224
6,0.0124
5,0.0082
5,0.0099
6,0.0101
10,0.0125
8,0.015
10,0.0268
6,0.0064
6,0.006
6,0.0057
5,0.005
8,0.008
9,0.0079
6,0.0181
9,0.0077
6,0.0057
9,0.0078
9,0.0139
9,0.0075
7,0.0093
7,0.0057
7,0.0051
7,0.0051
8,0.0058
5,0.004
10,0.0076
10,0.0067
7,0.0051
6,0.0045
9,0.0062
7,0.005
